image_path,breed,brachy_score,hair_score,wrinkle_score
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_895.jpg,n02112706-Brabancon_griffon,2.944850431696319,37.77777777777778,29.6875
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_86.jpg,n02112706-Brabancon_griffon,,,
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_678.jpg,n02112706-Brabancon_griffon,,,
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_967.jpg,n02112706-Brabancon_griffon,6.795722996536597,16.968325791855204,0.0
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_762.jpg,n02112706-Brabancon_griffon,,,
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_970.jpg,n02112706-Brabancon_griffon,,,
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_643.jpg,n02112706-Brabancon_griffon,,,
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_781.jpg,n02112706-Brabancon_griffon,,,
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_637.jpg,n02112706-Brabancon_griffon,,,
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_977.jpg,n02112706-Brabancon_griffon,,,
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_726.jpg,n02112706-Brabancon_griffon,,,
/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_663.jpg,n02112706-Brabancon_griffon,,,
