breed,image_url,difficulty_score
n02112706-Brabancon_griffon,https://huggingface.co/datasets/drbalaji96/canine-facial-morphology/resolve/main/images/Images/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_895.jpg,0.3367031083980116
n02112706-Brabancon_griffon,https://huggingface.co/datasets/drbalaji96/canine-facial-morphology/resolve/main/images/Images/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_967.jpg,0.09383107139209741
n02112706-Brabancon_griffon,https://huggingface.co/datasets/drbalaji96/canine-facial-morphology/resolve/main/images/Images/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_793.jpg,0.2706156031283677
n02112706-Brabancon_griffon,https://huggingface.co/datasets/drbalaji96/canine-facial-morphology/resolve/main/images/Images/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_1306.jpg,0.16340340691926372
n02112706-Brabancon_griffon,https://huggingface.co/datasets/drbalaji96/canine-facial-morphology/resolve/main/images/Images/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_1080.jpg,0.23399786902728015
n02112706-Brabancon_griffon,https://huggingface.co/datasets/drbalaji96/canine-facial-morphology/resolve/main/images/Images/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_2169.jpg,0.05665276177384381
n02112706-Brabancon_griffon,https://huggingface.co/datasets/drbalaji96/canine-facial-morphology/resolve/main/images/Images/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_2269.jpg,0.2119507963543207
n02112706-Brabancon_griffon,https://huggingface.co/datasets/drbalaji96/canine-facial-morphology/resolve/main/images/Images/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_1057.jpg,0.363412696540701
n02112706-Brabancon_griffon,https://huggingface.co/datasets/drbalaji96/canine-facial-morphology/resolve/main/images/Images/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_381.jpg,0.007558971842680689
n02112706-Brabancon_griffon,https://huggingface.co/datasets/drbalaji96/canine-facial-morphology/resolve/main/images/Images/content/drive/MyDrive/Balaji/Projects/Dog_pain_analysis/Images/n02112706-Brabancon_griffon/n02112706_2448.jpg,0.23859349481596173
